"SITECODE","loss_year","pixel_count","year","disturbed_ha"
"CZ0210053",10,4,2010,0.36
"CZ0210053",11,1.27943736314774,2011,0.115149362683296
"CZ0210053",12,4.51522755483165,2012,0.406370479934849
"CZ0210053",13,0.522681877017021,2013,0.0470413689315319
"CZ0210053",14,0.00123549206182361,2014,0.000111194285564125
"CZ0210053",19,1.79522168077528,2019,0.161569951269776
"CZ0210053",21,6,2021,0.54
"CZ0210053",23,0.15446163713932,2023,0.0139015473425388
"CZ0210054",2,1,2002,0.09
"CZ0210054",4,3.98627761565149,2004,0.358764985408634
"CZ0210054",5,5.69224691390991,2005,0.512302222251892
"CZ0210054",6,0.0172702204436064,2006,0.00155431983992457
"CZ0210054",9,1.87493640603498,2009,0.168744276543148
"CZ0210054",12,0.496599435806274,2012,0.0446939492225647
"CZ0210054",18,32.286201775074,2018,2.90575815975666
"CZ0210054",20,8.14865896245465,2020,0.733379306620918
"CZ0210054",21,19.6601335704327,2021,1.76941202133894
"CZ0210054",22,2.91797090321779,2022,0.262617381289601
"CZ0210062",2,1.56813955307007,2002,0.141132559776306
"CZ0210062",3,0.534711346030235,2003,0.0481240211427212
"CZ0210062",11,0.554338753223419,2011,0.0498904877901077
"CZ0210062",15,0.686492919921875,2015,0.0617843627929687
"CZ0210062",21,0.422551095485687,2021,0.0380295985937119
"CZ0210100",4,1,2004,0.09
"CZ0210100",5,0.0167898405343294,2005,0.00151108564808965
"CZ0210100",7,0.0754099637269974,2007,0.00678689673542976
"CZ0210100",9,5.84586215019226,2009,0.526127593517303
"CZ0210100",10,0.739289683298693,2010,0.0665360714968824
"CZ0210100",11,1.63181351344974,2011,0.146863216210477
"CZ0210100",13,7.60111846774817,2013,0.684100662097335
"CZ0210100",17,1,2017,0.09
"CZ0210100",20,1.76970419054851,2020,0.159273377149366
"CZ0210100",23,1.04613770544529,2023,0.0941523934900761
"CZ0210101",1,11,2001,0.99
"CZ0210101",2,74.9995366334915,2002,6.74995829701424
"CZ0210101",3,7,2003,0.63
"CZ0210101",4,179.515423566103,2004,16.1563881209493
"CZ0210101",5,206.257212489843,2005,18.5631491240859
"CZ0210101",6,180.154817268252,2006,16.2139335541427
"CZ0210101",7,84.9843325614929,2007,7.64858993053436
"CZ0210101",8,26.6118076118,2008,2.395062685062
"CZ0210101",9,295.941345402971,2009,26.6347210862674
"CZ0210101",10,180,2010,16.2
"CZ0210101",11,285.35757253319,2011,25.6821815279871
"CZ0210101",12,125.957753181458,2012,11.3361977863312
"CZ0210101",13,128.913972198963,2013,11.6022574979067
"CZ0210101",14,140.116943437606,2014,12.6105249093845
"CZ0210101",15,130.101944744587,2015,11.7091750270128
"CZ0210101",16,241.571229223744,2016,21.741410630137
"CZ0210101",17,313.628807994537,2017,28.2265927195083
"CZ0210101",18,124.235743016005,2018,11.1812168714404
"CZ0210101",19,318.188039944042,2019,28.6369235949637
"CZ0210101",20,435.595213409513,2020,39.2035692068562
"CZ0210101",21,373.41357499361,2021,33.6072217494249
"CZ0210101",22,234.527562260628,2022,21.1074806034565
"CZ0210101",23,198.751245558262,2023,17.8876121002436
"CZ0210105",11,2.32768821716309,2011,0.209491939544678
"CZ0210107",4,2,2004,0.18
"CZ0210107",7,0.535133242607117,2007,0.0481619918346405
"CZ0210107",11,0.996799729764462,2011,0.0897119756788015
"CZ0210107",16,0.0412161648273468,2016,0.00370945483446121
"CZ0210107",19,1.27291348576546,2019,0.114562213718891
"CZ0210107",20,2,2020,0.18
"CZ0210107",21,4.06088669970632,2021,0.365479802973568
"CZ0210107",22,2,2022,0.18
"CZ0210109",19,10,2019,0.9
"CZ0210109",20,8,2020,0.72
"CZ0210111",4,0.49079355597496,2004,0.0441714200377464
"CZ0210111",5,12.556962415576,2005,1.13012661740184
"CZ0210111",6,0.825922651216388,2006,0.0743330386094749
"CZ0210111",8,2.05651250481606,2008,0.185086125433445
"CZ0210111",13,2.50352507829666,2013,0.2253172570467
"CZ0210111",14,6.43945136293769,2014,0.579550622664392
"CZ0210111",16,0.0837986245751381,2016,0.00754187621176243
"CZ0210111",17,0.0249344687908888,2017,0.00224410219117999
"CZ0210111",23,3.15648256242275,2023,0.284083430618048
"CZ0210056",11,0.0154136046767235,2011,0.00138722442090511
"CZ0210056",14,0.602593421936035,2014,0.0542334079742432
"CZ0210118",4,0.0070949736982584,2004,0.000638547632843256
"CZ0623010",12,0.106778979301453,2012,0.00961010813713074
"CZ0210150",15,1.82862330973148,2015,0.164576097875834
"CZ0210150",20,3,2020,0.27
"CZ0210152",4,0.0764138321392238,2004,0.00687724489253014
"CZ0210152",6,0.47319508343935,2006,0.0425875575095415
"CZ0210152",12,1.3886291384697,2012,0.124976622462273
"CZ0210152",20,3.86271512508392,2020,0.347644361257553
"CZ0210175",1,13,2001,1.17
"CZ0210175",2,31,2002,2.79
"CZ0210175",3,3,2003,0.27
"CZ0210175",4,79,2004,7.11
"CZ0210175",5,43.1885315030813,2005,3.88696783527732
"CZ0210175",6,29.962541282177,2006,2.69662871539593
"CZ0210175",7,12,2007,1.08
"CZ0210175",8,7,2008,0.63
"CZ0210175",9,24,2009,2.16
