COUNTRY,NAME_1,SITECODE,disturbed_ha_inside,percent_disturbed_site
Germany,Nordrhein-Westfalen,DE4717401,1810.05228053719,17.491093084116034
Germany,Rheinland-Pfalz,DE5312401,6743.88661332039,28.288043052408934
Germany,Rheinland-Pfalz,DE5507401,1790.52237308962,9.248014547116178
Germany,Rheinland-Pfalz,DE5908401,1431.24112113028,8.991259504361393
Germany,Saarland,DE6706301,120.865719738516,3.618315730760794
Germany,Saarland,DE6308301,61.2203963109867,11.970356715639664
Germany,Saarland,DE6609301,59.1904257616494,5.960452118769609
Germany,Sachsen,DE5050301,1788.23613126075,36.984156728458906
Germany,Sachsen,DE5050451,1787.76591867282,36.99376081641766
Germany,Sachsen,DE4552451,841.791162590281,4.758786192727209
Germany,Sachsen-Anhalt,DE4229401,2906.73651456617,68.01865557622918
Germany,Sachsen-Anhalt,DE4232401,2810.46465514734,31.98081815387819
Germany,Sachsen-Anhalt,DE4229301,2804.54842924109,68.34645820664994
Germany,Schleswig-Holstein,DE2428492,203.305834579985,4.174790232130147
Germany,Schleswig-Holstein,DE2331491,100.826375060433,1.385802938852561
Germany,Schleswig-Holstein,DE2331471,67.1682956177672,0.4926745870976813
Germany,Thüringen,DE5432401,3579.17892187679,40.6315676045209
Germany,Thüringen,DE5430401,2433.34869534089,18.293689998576294
Germany,Thüringen,DE5535420,1760.71415635484,40.75623399483894
Greece,Aegean,GR4220028,449.556221913599,3.0790437265919888
Greece,Aegean,GR4220001,430.245377694356,8.5320450886489
Greece,Aegean,GR4210002,250.721690288361,5.0625267818692254
Greece,Athos,GR1270003,1319.47414410129,6.708117175653089
Greece,Athos,GR1270015,0.22459865427576,0.001822309240044375
Greece,Attica,GR3000001,177.008127982424,1.9994385822398961
Greece,Attica,GR3000013,65.8913631581759,1.7127857565906717
Greece,Attica,GR3000005,35.1,0.9032075265846434
Greece,Crete,GR4340004,202.54212270457,4.216195309850783
Greece,Crete,GR4330004,169.166734720216,1.8154061387632887
Greece,Crete,GR4340008,66.84615035492,0.22708118283895218
Greece,Epirus and Western Macedonia,GR2130011,635.505359444555,1.7313210354409272
Greece,Epirus and Western Macedonia,GR2130002,496.303315115054,4.246410790329434
Greece,Epirus and Western Macedonia,GR1320002,258.793459762314,1.125061736380971
Greece,Macedonia and Thrace,GR1240009,869.769508187214,1.4461297704009173
Greece,Macedonia and Thrace,GR1240008,629.916984995468,1.1848487158988092
Greece,Macedonia and Thrace,GR1210001,598.797217924122,3.4395415319078806
Greece,"Peloponnese, Western Greece and",GR2550006,437.183590805697,1.1406824389628172
Greece,"Peloponnese, Western Greece and",GR2550009,384.011711108837,1.054368522400159
Greece,"Peloponnese, Western Greece and",GR2520006,299.336187532257,0.764410149822287
Greece,Thessaly and Central Greece,GR1440003,977.84812366873,2.7150917224528155
Greece,Thessaly and Central Greece,GR1440005,971.545231427243,2.420669358638349
Greece,Thessaly and Central Greece,GR1430006,633.913811616456,3.309151606409846
Hungary,Baranya,HUDD20030,1033.19024044079,6.517897595056583
Hungary,Baranya,HUDD20045,774.494712285537,9.923045441689366
Hungary,Baranya,HUDD20008,756.45761517229,12.710961575404909
Hungary,Borsod-Abaúj-Zemplén,HUBN10003,2519.0150392076,5.326980833916741
Hungary,Borsod-Abaúj-Zemplén,HUBN10007,2404.46525601413,2.997018479452488
Hungary,Borsod-Abaúj-Zemplén,HUBN20001,514.848248769825,5.674956443370845
Hungary,Bács-Kiskun,HUDD10003,2383.85991272922,14.766849391679063
Hungary,Bács-Kiskun,HUKN20024,333.722888752372,5.0061154997056
Hungary,Bács-Kiskun,HUKN20003,253.325052653373,2.185074079676098
Hungary,Békés,HUKM20011,620.701233604118,19.638726396490632
Hungary,Békés,HUKM20017,68.9862399411757,1.592887261999761
Hungary,Békés,HUKM20012,46.3000955286134,4.026890656332095
Hungary,Csongrád,HUKN10007,868.970699892058,3.2576682959711416
Hungary,Csongrád,HUKN20031,737.698467062823,10.545968429938497
Hungary,Csongrád,HUKM20008,269.247451005082,10.60338031902281
Hungary,Fejér,HUDI30001,1073.44837731811,6.216025165649424
Hungary,Fejér,HUDI20015,203.811061107405,6.466014043194022
Hungary,Fejér,HUDI20053,102.631317325942,3.685235724842826
Hungary,Gyor-Moson-Sopron,HUFH30004,958.06145346485,10.249235332301707
Hungary,Gyor-Moson-Sopron,HUFH30005,509.550764230497,6.05965837076238
Hungary,Gyor-Moson-Sopron,HUFH20001,370.575650463834,9.973882098453865
Hungary,Hajdú-Bihar,HUHN20033,1079.57060390656,24.24988043313321
Hungary,Hajdú-Bihar,HUHN20032,919.511438818967,25.68321702400337
Hungary,Hajdú-Bihar,HUHN10002,328.083457900327,0.3968877164630516
Hungary,Heves,HUBN10006,1082.86270565938,5.78785084063678
Hungary,Heves,HUBN20012,116.528385985963,6.913451529656481
Hungary,Heves,HUBN10004,92.5465285558369,0.2249132099686997
Hungary,Jász-Nagykun-Szolnok,HUHN20015,1331.31459501516,10.82931401377936
Hungary,Jász-Nagykun-Szolnok,HUHN10004,1259.88411826212,10.697061156384867
Hungary,Jász-Nagykun-Szolnok,HUHN20003,231.216155744644,1.9179796404212117
Hungary,Komárom-Esztergom,HUDI10003,1562.32482714935,7.350218423553223
