SITECODE,forest_ha_inside,forest_ha_buffer
FI0356004,22.550020751953124,2217.842578125
PLH020074,3013.557890625,5545.003359375
FI0356005,18.448526458740233,458.205908203125
FI0358001,14.358030853271485,465.1019384765625
FI0361001,26.106910400390625,490.0693798828125
PLH020075,159.7342236328125,760.069248046875
FI0361003,43.32719421386719,980.5405078125
FI0362001,18.601704711914063,427.3305908203125
FI0400001,1600.02298828125,1900.740234375
FI0400002,3612.4709765625,2351.17353515625
FI0401001,3504.4597265625,16648.216875
PLH060032,6474.69140625,13836.62953125
FI0363001,17.52017761230469,425.7334423828125
FI0401003,245.24518798828126,859.056328125
PLH060033,451.835595703125,1116.2914453125
PLH060034,20087.0803125,14511.55921875
PLH060035,1151.678408203125,4459.3168359375
PLH060039,127.40538208007813,588.261796875
PLH060040,590.75876953125,2441.27091796875
FI0401002,176.16402465820312,993.9533203125
PLH240023,3555.6753515625,5715.7850390625
FI0401005,314.1686865234375,1107.096767578125
FI0401008,77.445,669.191923828125
FI0401009,17.25053741455078,439.13162109375
FI0401010,29.44087371826172,501.3664013671875
FI0401011,2.3078842163085938,351.62281494140626
FI0401006,606.827109375,2816.06466796875
FI0401012,30.313402404785155,694.379267578125
FI0407008,3.540748329162598,327.8950927734375
PLH240024,4.449402465820312,283.38554443359374
PLH240025,3.72815071105957,278.77862548828125
PLH240026,54.00665771484375,708.39496582031245
FI0403001,202.553525390625,977.872412109375
FI0403002,4.358716850280762,581.2288330078125
FI0404004,10.63033676147461,413.826767578125
FI0404006,10.425835876464843,409.1300244140625
FI0404008,11.971636962890624,398.7812109375
PLH260017,487.480166015625,2028.24984375
FI0403003,29.79848419189453,902.766181640625
FI0404001,35.81616577148438,509.79515625
PLH260018,9208.92515625,26712.309375
PLH260019,1819.53474609375,8433.671484375
PLH260020,736.862431640625,2890.45142578125
PLH260021,243.52209228515625,2379.10482421875
FI0404002,33.18327850341797,1282.32966796875
FI0404007,189.55338134765626,955.098984375
FI0404009,94.63668090820312,650.0355029296875
FI0404011,4.80051555633545,339.3927685546875
FI0404012,1.7760908317565918,310.54541748046876
FI0406002,2.273115062713623,313.57465576171876
FI0406003,433.049501953125,3211.5877734375
FI0406004,20.077669830322264,737.00982421875
PLH260023,1033.938720703125,3961.0121484375
FI0406001,73.72644653320313,1094.325908203125
FI0407001,69.51233276367188,754.7009765625
PLH260026,513.16611328125,3095.5018359375
PLH260028,1858.6669921875,2979.8778515625
PLH260029,2585.606484375,6344.64140625
PLH260030,635.38822265625,2546.7605859375
PLH260031,4737.330703125,3696.0155859375
PLH260032,1519.6812890625,5196.000234375
FI0406007,25.390805053710938,477.64388671875
FI0406008,25.314024353027342,737.2443603515625
FI0407004,4.761411781311035,557.93548828125
FI0407006,4.379834632873536,358.6298291015625
PLH260033,699.008818359375,1942.86234375
FI0406009,0.6059998083114624,306.8787744140625
PLH260034,5535.7969921875,20568.84328125
PLH260035,134.447431640625,620.6558203125
PLH260036,3028.739765625,11734.05375
PLH260037,199.5448974609375,1941.7665234375
FI0407009,172.62596557617186,908.82369140625
FI0407011,2.458056678771973,310.8124951171875
FI0407012,5.8398362731933595,472.9587890625
FI0407013,1.9650441741943359,448.5477392578125
FI0408004,95.24379638671876,689.0954150390625
FI0408009,22.426126556396483,441.8687548828125
FI0408010,0.9988624477386474,299.5087939453125
PTCON0022,21790.44703125,20964.58453125
FI0408001,74207.019375,17188.52625
PTCON0023,8863.303359375,6056.692734375
PTCON0024,1799.8224609375,1999.34666015625
PTCON0025,19750.4578125,5832.1255078125
PTCON0027,5289.9563671875,2609.81208984375
PTCON0029,28408.561875,7075.65234375
PTCON0030,20280.17390625,6303.552890625
PTCON0031,12645.2615625,5081.9593359375
PTCON0032,1390.419580078125,6829.88765625
PTCON0033,31436.2575,6345.132890625
PTCON0034,20546.00578125,10802.498203125
PTCON0035,704.3912841796875,1934.31181640625
PTCON0036,25950.189375,35719.57125
PTCON0037,42487.250625,11385.63
PTCON0039,2383.17328125,3306.6196875
PTCON0040,3295.5345703125,2697.896953125
PTCON0042,2045.49046875,1680.1875
PTCON0043,2756.32716796875,2101.133671875
